HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,PSH,PSD,PSA,AvgH,AvgD,AvgA
Mechelen,Westerlo,3.0,1.0,H,2.0,0.0,10.0,21.0,4.0,4.0,7.0,8.0,3.0,3.0,0.0,1.0,0.0,0.0,1.96,3.46,4.23,1.93,3.48,3.95
Kortrijk,RWD Molenbeek,3.0,2.0,H,1.0,1.0,17.0,12.0,7.0,4.0,10.0,14.0,8.0,5.0,1.0,3.0,0.0,0.0,2.48,3.39,2.89,2.44,3.39,2.77
Anderlecht,Eupen,1.0,0.0,H,1.0,0.0,14.0,15.0,5.0,3.0,12.0,20.0,8.0,4.0,2.0,1.0,0.0,0.0,1.29,5.72,9.87,1.3,5.45,9.22
Antwerp,St Truiden,3.0,0.0,H,0.0,0.0,19.0,4.0,11.0,0.0,13.0,15.0,11.0,3.0,0.0,0.0,0.0,0.0,1.67,4.01,5.01,1.64,3.95,4.94
Genk,Club Brugge,0.0,3.0,A,0.0,1.0,10.0,12.0,5.0,5.0,13.0,8.0,4.0,6.0,2.0,2.0,0.0,0.0,3.09,3.67,2.28,2.98,3.57,2.24
Standard,Gent,4.0,2.0,H,1.0,1.0,19.0,11.0,7.0,7.0,13.0,10.0,9.0,5.0,3.0,1.0,0.0,1.0,3.2,3.5,2.29,3.13,3.43,2.21
Oud-Heverlee Leuven,St. Gilloise,0.0,2.0,A,0.0,1.0,9.0,9.0,2.0,2.0,10.0,11.0,4.0,6.0,3.0,3.0,0.0,0.0,6.04,4.72,1.52,5.74,4.46,1.5
Cercle Brugge,Mechelen,2.0,3.0,A,2.0,2.0,12.0,15.0,5.0,6.0,9.0,9.0,7.0,6.0,1.0,2.0,0.0,0.0,1.96,3.63,4.02,1.92,3.57,3.82
Westerlo,Charleroi,0.0,1.0,A,0.0,0.0,15.0,7.0,3.0,1.0,11.0,12.0,5.0,1.0,1.0,4.0,0.0,0.0,1.95,3.52,4.19,1.92,3.45,3.97
Eupen,Cercle Brugge,0.0,2.0,A,0.0,0.0,12.0,17.0,1.0,8.0,10.0,12.0,5.0,4.0,2.0,3.0,0.0,0.0,4.71,3.99,1.71,4.66,3.91,1.68
St. Gilloise,Standard,2.0,1.0,H,2.0,0.0,12.0,8.0,7.0,4.0,9.0,17.0,5.0,4.0,1.0,3.0,0.0,0.0,1.39,4.94,7.61,1.38,4.77,7.76
Gent,Antwerp,2.0,2.0,D,2.0,1.0,13.0,8.0,5.0,5.0,13.0,8.0,7.0,4.0,1.0,2.0,0.0,0.0,2.53,3.4,2.81,2.43,3.4,2.8
Club Brugge,Anderlecht,1.0,2.0,A,1.0,0.0,16.0,11.0,6.0,6.0,14.0,16.0,5.0,3.0,0.0,4.0,0.0,0.0,1.76,3.93,4.7,1.71,3.88,4.57
Mechelen,Kortrijk,3.0,0.0,H,1.0,0.0,9.0,11.0,4.0,1.0,2.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,1.66,4.07,5.34,1.63,3.94,5.06
St Truiden,Westerlo,1.0,0.0,H,1.0,0.0,15.0,12.0,3.0,3.0,9.0,11.0,8.0,2.0,1.0,1.0,0.0,0.0,2.08,3.58,3.65,2.05,3.46,3.49
RWD Molenbeek,Oud-Heverlee Leuven,1.0,1.0,D,1.0,1.0,10.0,9.0,3.0,3.0,10.0,9.0,5.0,6.0,0.0,3.0,0.0,0.0,2.87,3.43,2.54,2.79,3.39,2.44
Charleroi,Genk,0.0,1.0,A,0.0,0.0,6.0,19.0,4.0,7.0,14.0,13.0,3.0,6.0,2.0,2.0,0.0,0.0,3.59,3.67,2.07,3.47,3.55,2.04
Eupen,Gent,0.0,2.0,A,0.0,1.0,4.0,8.0,3.0,4.0,18.0,14.0,4.0,3.0,3.0,1.0,0.0,0.0,4.75,4.04,1.69,4.64,3.97,1.68
Anderlecht,St Truiden,4.0,1.0,H,0.0,1.0,17.0,12.0,8.0,4.0,9.0,11.0,2.0,2.0,1.0,1.0,0.0,0.0,1.61,4.22,5.28,1.62,4.0,5.11
Kortrijk,St. Gilloise,1.0,3.0,A,0.0,2.0,6.0,18.0,2.0,9.0,11.0,15.0,5.0,6.0,4.0,1.0,0.0,0.0,7.76,5.2,1.37,7.64,5.04,1.36
Cercle Brugge,Club Brugge,1.0,1.0,D,0.0,0.0,7.0,13.0,4.0,3.0,14.0,11.0,0.0,4.0,0.0,4.0,0.0,1.0,3.35,3.72,2.09,3.31,3.66,2.05
Antwerp,Mechelen,0.0,1.0,A,0.0,0.0,15.0,6.0,3.0,4.0,9.0,12.0,6.0,2.0,2.0,2.0,0.0,0.0,1.58,4.27,5.79,1.57,4.1,5.52
Oud-Heverlee Leuven,Charleroi,0.0,0.0,D,0.0,0.0,17.0,6.0,0.0,0.0,17.0,15.0,13.0,1.0,2.0,5.0,0.0,1.0,2.46,3.32,3.08,2.37,3.35,2.92
Genk,RWD Molenbeek,3.0,1.0,H,2.0,1.0,21.0,11.0,9.0,5.0,9.0,12.0,6.0,8.0,1.0,2.0,0.0,0.0,1.26,6.23,10.85,1.27,5.71,10.09
Westerlo,Standard,2.0,1.0,H,1.0,1.0,13.0,12.0,5.0,2.0,14.0,10.0,3.0,5.0,1.0,1.0,0.0,0.0,2.47,3.3,3.07,2.4,3.26,2.96
Gent,Cercle Brugge,1.0,2.0,A,0.0,1.0,20.0,11.0,10.0,2.0,11.0,11.0,12.0,3.0,1.0,3.0,0.0,1.0,2.18,3.73,3.13,2.12,3.68,3.13
Charleroi,Anderlecht,1.0,3.0,A,1.0,2.0,16.0,8.0,6.0,4.0,11.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,3.73,3.53,2.02,3.53,3.47,2.03
Mechelen,Genk,1.0,1.0,D,1.0,1.0,11.0,14.0,2.0,1.0,10.0,12.0,5.0,3.0,1.0,2.0,0.0,0.0,3.67,3.67,1.99,3.62,3.64,1.95
RWD Molenbeek,Antwerp,0.0,4.0,A,0.0,3.0,2.0,13.0,1.0,9.0,15.0,11.0,5.0,3.0,3.0,0.0,1.0,0.0,5.54,4.29,1.61,5.11,4.13,1.6
Club Brugge,Eupen,4.0,0.0,H,2.0,0.0,21.0,4.0,6.0,1.0,8.0,11.0,7.0,4.0,0.0,2.0,0.0,0.0,1.22,7.44,11.44,1.21,6.75,11.2
St. Gilloise,Westerlo,2.0,2.0,D,1.0,1.0,17.0,9.0,3.0,4.0,14.0,8.0,4.0,4.0,4.0,2.0,0.0,0.0,1.26,6.27,10.93,1.27,5.7,9.97
Standard,Oud-Heverlee Leuven,1.0,0.0,H,1.0,0.0,11.0,8.0,5.0,2.0,10.0,18.0,7.0,9.0,3.0,3.0,0.0,0.0,2.0,3.55,3.93,1.95,3.56,3.72
St Truiden,Kortrijk,1.0,0.0,H,1.0,0.0,15.0,10.0,3.0,2.0,8.0,11.0,5.0,3.0,0.0,2.0,0.0,0.0,1.53,4.44,6.28,1.5,4.28,6.05
Cercle Brugge,St Truiden,4.0,1.0,H,2.0,0.0,17.0,6.0,6.0,3.0,17.0,8.0,6.0,8.0,2.0,2.0,0.0,0.0,1.85,3.8,4.08,1.86,3.72,3.86
Anderlecht,Gent,1.0,0.0,H,1.0,0.0,11.0,13.0,3.0,4.0,6.0,12.0,5.0,5.0,1.0,4.0,0.0,0.0,2.27,3.42,3.21,2.23,3.44,3.07
Eupen,Mechelen,0.0,1.0,A,0.0,0.0,18.0,4.0,5.0,1.0,17.0,8.0,8.0,4.0,1.0,0.0,1.0,0.0,3.09,3.5,2.3,3.01,3.47,2.26
Antwerp,Club Brugge,2.0,1.0,H,0.0,0.0,11.0,13.0,3.0,4.0,9.0,18.0,5.0,9.0,2.0,4.0,0.0,1.0,3.86,3.69,1.98,3.66,3.57,1.97
Genk,St. Gilloise,0.0,1.0,A,0.0,0.0,10.0,12.0,3.0,4.0,18.0,13.0,8.0,3.0,1.0,4.0,0.0,0.0,2.87,3.54,2.49,2.79,3.47,2.41
Kortrijk,Charleroi,1.0,0.0,H,1.0,0.0,11.0,7.0,4.0,1.0,10.0,20.0,5.0,4.0,1.0,1.0,0.0,0.0,3.33,3.57,2.21,3.21,3.48,2.16
Westerlo,Oud-Heverlee Leuven,0.0,3.0,A,0.0,2.0,11.0,9.0,7.0,6.0,8.0,12.0,15.0,5.0,0.0,2.0,0.0,0.0,2.06,3.77,3.54,2.02,3.69,3.39
RWD Molenbeek,Standard,2.0,2.0,D,1.0,1.0,12.0,13.0,4.0,4.0,15.0,12.0,4.0,3.0,1.0,4.0,0.0,0.0,3.14,3.33,2.42,3.06,3.31,2.31
Mechelen,Anderlecht,2.0,2.0,D,0.0,1.0,14.0,16.0,7.0,4.0,10.0,9.0,5.0,4.0,2.0,1.0,0.0,0.0,3.28,3.48,2.21,3.24,3.44,2.15
St Truiden,Gent,4.0,1.0,H,0.0,1.0,23.0,4.0,12.0,1.0,6.0,6.0,9.0,1.0,2.0,0.0,0.0,1.0,3.58,3.62,2.04,3.51,3.56,2.0
St. Gilloise,RWD Molenbeek,3.0,2.0,H,2.0,0.0,11.0,8.0,5.0,2.0,11.0,15.0,3.0,2.0,2.0,2.0,0.0,0.0,1.19,7.65,13.86,1.18,6.96,13.28
Standard,Antwerp,0.0,1.0,A,0.0,0.0,15.0,4.0,4.0,2.0,11.0,14.0,4.0,2.0,1.0,3.0,0.0,1.0,3.9,3.89,1.92,3.87,3.66,1.88
Charleroi,Eupen,1.0,0.0,H,0.0,0.0,12.0,7.0,3.0,2.0,12.0,12.0,2.0,10.0,1.0,0.0,0.0,0.0,1.68,4.04,5.13,1.64,3.98,4.91
Oud-Heverlee Leuven,Genk,2.0,1.0,H,0.0,0.0,12.0,15.0,4.0,2.0,15.0,21.0,2.0,4.0,2.0,5.0,0.0,0.0,4.95,4.22,1.67,4.6,4.09,1.66
Club Brugge,Kortrijk,3.0,3.0,D,1.0,0.0,31.0,7.0,10.0,5.0,7.0,10.0,11.0,0.0,1.0,2.0,0.0,0.0,1.12,10.0,21.28,1.11,8.89,19.73
Westerlo,Cercle Brugge,4.0,2.0,H,4.0,1.0,9.0,14.0,5.0,3.0,10.0,25.0,2.0,6.0,3.0,5.0,1.0,0.0,4.22,3.8,1.87,3.97,3.71,1.84
Mechelen,RWD Molenbeek,3.0,1.0,H,0.0,0.0,24.0,6.0,8.0,3.0,9.0,12.0,14.0,0.0,0.0,2.0,0.0,1.0,1.72,3.84,4.8,1.69,3.77,4.83
Anderlecht,St. Gilloise,2.0,2.0,D,1.0,2.0,11.0,14.0,2.0,8.0,15.0,13.0,7.0,6.0,3.0,2.0,0.0,0.0,3.21,3.67,2.17,3.16,3.54,2.15
Eupen,Antwerp,1.0,0.0,H,1.0,0.0,9.0,15.0,3.0,2.0,16.0,8.0,3.0,6.0,4.0,2.0,0.0,0.0,7.52,5.27,1.37,7.53,5.08,1.36
St Truiden,Genk,1.0,1.0,D,0.0,1.0,12.0,10.0,4.0,3.0,13.0,14.0,5.0,7.0,2.0,4.0,0.0,2.0,4.01,3.66,1.91,3.8,3.6,1.92
Charleroi,Club Brugge,1.0,4.0,A,0.0,3.0,14.0,17.0,6.0,7.0,10.0,11.0,3.0,5.0,0.0,1.0,0.0,0.0,6.26,4.48,1.53,5.9,4.28,1.51
Gent,Westerlo,2.0,2.0,D,1.0,1.0,14.0,11.0,5.0,6.0,16.0,19.0,5.0,3.0,3.0,7.0,0.0,0.0,1.4,5.24,7.6,1.38,5.0,7.16
Kortrijk,Oud-Heverlee Leuven,0.0,0.0,D,0.0,0.0,13.0,8.0,3.0,2.0,7.0,16.0,6.0,5.0,3.0,1.0,0.0,0.0,2.99,3.63,2.37,2.81,3.53,2.35
Cercle Brugge,Standard,1.0,1.0,D,0.0,0.0,26.0,11.0,7.0,2.0,8.0,13.0,5.0,4.0,2.0,1.0,0.0,0.0,1.53,4.52,6.17,1.52,4.34,5.7
RWD Molenbeek,Eupen,0.0,1.0,A,0.0,0.0,8.0,11.0,3.0,6.0,13.0,14.0,1.0,4.0,2.0,3.0,0.0,0.0,1.87,3.74,4.07,1.87,3.69,3.86
Oud-Heverlee Leuven,Anderlecht,1.0,1.0,D,1.0,0.0,8.0,12.0,4.0,4.0,8.0,10.0,5.0,3.0,2.0,2.0,0.0,0.0,4.69,4.15,1.68,4.54,4.02,1.68
St. Gilloise,St Truiden,2.0,1.0,H,1.0,1.0,16.0,5.0,5.0,2.0,5.0,9.0,7.0,1.0,2.0,5.0,0.0,0.0,1.34,5.23,9.04,1.32,5.09,8.79
Antwerp,Charleroi,4.0,1.0,H,2.0,0.0,20.0,8.0,8.0,5.0,7.0,12.0,5.0,6.0,1.0,2.0,0.0,0.0,1.71,4.03,4.87,1.72,3.82,4.55
Club Brugge,Westerlo,3.0,0.0,H,1.0,0.0,14.0,2.0,9.0,0.0,4.0,12.0,3.0,0.0,0.0,3.0,0.0,1.0,1.27,6.25,9.94,1.27,5.76,9.63
Standard,Kortrijk,0.0,1.0,A,0.0,1.0,20.0,5.0,4.0,2.0,7.0,13.0,7.0,4.0,0.0,1.0,0.0,0.0,1.56,4.28,6.11,1.55,4.13,5.68
Genk,Cercle Brugge,1.0,1.0,D,0.0,1.0,12.0,19.0,3.0,6.0,15.0,15.0,4.0,5.0,2.0,2.0,0.0,0.0,1.83,3.97,4.18,1.81,3.9,3.95
Gent,Mechelen,1.0,2.0,A,0.0,1.0,23.0,9.0,7.0,2.0,4.0,15.0,8.0,4.0,2.0,4.0,0.0,0.0,1.55,4.39,6.07,1.53,4.26,5.71
Anderlecht,Cercle Brugge,2.0,0.0,H,1.0,0.0,7.0,19.0,4.0,7.0,9.0,13.0,2.0,12.0,1.0,1.0,0.0,0.0,1.89,3.96,3.77,1.88,3.77,3.77
Charleroi,Mechelen,3.0,1.0,H,2.0,0.0,16.0,11.0,6.0,5.0,10.0,9.0,5.0,7.0,2.0,1.0,0.0,0.0,2.19,3.36,3.44,2.11,3.4,3.41
Standard,St Truiden,1.0,1.0,D,0.0,0.0,11.0,18.0,2.0,8.0,14.0,14.0,4.0,4.0,1.0,3.0,0.0,0.0,2.37,3.34,3.1,2.34,3.32,3.01
Club Brugge,St. Gilloise,1.0,1.0,D,0.0,1.0,9.0,7.0,2.0,3.0,15.0,14.0,6.0,0.0,1.0,5.0,0.0,1.0,2.34,3.45,3.06,2.29,3.42,3.01
Westerlo,RWD Molenbeek,3.0,0.0,H,1.0,0.0,13.0,11.0,3.0,4.0,7.0,12.0,6.0,0.0,0.0,0.0,0.0,1.0,1.88,3.83,4.15,1.87,3.63,3.96
Kortrijk,Gent,0.0,2.0,A,0.0,1.0,7.0,20.0,3.0,9.0,9.0,10.0,4.0,5.0,1.0,1.0,0.0,0.0,8.48,5.57,1.35,8.13,5.2,1.34
Oud-Heverlee Leuven,Eupen,3.0,0.0,H,2.0,0.0,18.0,14.0,7.0,6.0,6.0,15.0,7.0,3.0,2.0,2.0,0.0,0.0,1.85,3.99,4.09,1.83,3.91,3.88
Genk,Antwerp,3.0,0.0,H,1.0,0.0,16.0,3.0,8.0,1.0,8.0,9.0,3.0,3.0,1.0,3.0,0.0,0.0,2.18,3.81,3.2,2.11,3.65,3.2
Anderlecht,Genk,2.0,1.0,H,0.0,0.0,9.0,20.0,3.0,7.0,7.0,15.0,1.0,8.0,1.0,2.0,0.0,0.0,2.35,3.58,3.04,2.26,3.53,2.97
Antwerp,Westerlo,2.0,2.0,D,1.0,0.0,15.0,12.0,6.0,6.0,5.0,7.0,8.0,2.0,2.0,1.0,0.0,0.0,1.37,5.38,8.0,1.35,5.13,7.9
St Truiden,Charleroi,1.0,0.0,H,0.0,0.0,16.0,4.0,7.0,0.0,4.0,17.0,6.0,3.0,0.0,0.0,0.0,0.0,2.32,3.34,3.3,2.22,3.33,3.21
Eupen,St. Gilloise,1.0,2.0,A,0.0,2.0,1.0,20.0,1.0,8.0,15.0,8.0,3.0,14.0,5.0,1.0,0.0,0.0,11.63,6.62,1.24,11.01,6.13,1.24
RWD Molenbeek,Club Brugge,1.0,6.0,A,0.0,3.0,10.0,15.0,3.0,10.0,9.0,8.0,2.0,8.0,1.0,2.0,0.0,0.0,8.5,5.2,1.37,8.03,4.94,1.36
Gent,Oud-Heverlee Leuven,4.0,0.0,H,1.0,0.0,21.0,9.0,6.0,2.0,6.0,12.0,8.0,3.0,0.0,1.0,0.0,0.0,1.29,6.02,8.57,1.3,5.79,8.52
Mechelen,Standard,3.0,0.0,H,1.0,0.0,28.0,14.0,8.0,3.0,8.0,8.0,5.0,3.0,2.0,0.0,0.0,1.0,2.57,3.36,2.89,2.46,3.32,2.82
Cercle Brugge,Kortrijk,3.0,0.0,H,1.0,0.0,24.0,6.0,13.0,1.0,8.0,14.0,7.0,5.0,2.0,3.0,0.0,0.0,1.35,5.53,8.71,1.34,5.16,8.29
Genk,Kortrijk,4.0,0.0,H,1.0,0.0,27.0,5.0,9.0,1.0,7.0,12.0,7.0,2.0,0.0,2.0,0.0,0.0,1.23,6.73,10.54,1.23,6.49,11.0
Antwerp,Anderlecht,1.0,1.0,D,0.0,1.0,19.0,10.0,5.0,4.0,9.0,13.0,7.0,2.0,2.0,4.0,0.0,0.0,1.99,3.57,3.8,1.96,3.57,3.71
St. Gilloise,Mechelen,1.0,0.0,H,0.0,0.0,24.0,15.0,8.0,8.0,14.0,10.0,8.0,5.0,2.0,1.0,0.0,0.0,1.33,5.4,8.6,1.33,5.16,8.55
Club Brugge,Gent,2.0,0.0,H,2.0,0.0,13.0,8.0,4.0,2.0,10.0,11.0,4.0,5.0,0.0,0.0,0.0,1.0,1.68,4.2,4.89,1.67,4.04,4.66
Standard,Charleroi,0.0,0.0,D,0.0,0.0,6.0,7.0,1.0,2.0,11.0,21.0,4.0,2.0,1.0,1.0,0.0,0.0,2.16,3.52,3.48,2.13,3.46,3.33
RWD Molenbeek,St Truiden,3.0,0.0,H,1.0,0.0,7.0,12.0,6.0,1.0,14.0,8.0,4.0,4.0,3.0,2.0,0.0,0.0,3.42,3.43,2.22,3.33,3.38,2.16
Oud-Heverlee Leuven,Cercle Brugge,1.0,2.0,A,1.0,0.0,9.0,12.0,3.0,5.0,12.0,14.0,4.0,6.0,4.0,3.0,0.0,0.0,4.09,4.27,1.79,3.97,4.02,1.79
Westerlo,Eupen,2.0,0.0,H,0.0,0.0,20.0,15.0,4.0,7.0,15.0,8.0,4.0,4.0,3.0,1.0,0.0,0.0,1.8,3.84,4.54,1.77,3.83,4.28
Charleroi,St. Gilloise,1.0,3.0,A,0.0,1.0,9.0,17.0,3.0,9.0,7.0,12.0,6.0,7.0,3.0,2.0,0.0,0.0,5.36,4.07,1.62,5.08,4.01,1.63
Anderlecht,Standard,2.0,2.0,D,1.0,1.0,12.0,13.0,4.0,4.0,8.0,14.0,1.0,1.0,2.0,3.0,0.0,0.0,1.56,4.28,5.79,1.56,4.23,5.43
Eupen,Genk,1.0,3.0,A,0.0,1.0,11.0,18.0,4.0,10.0,12.0,8.0,8.0,8.0,0.0,2.0,0.0,0.0,7.43,5.43,1.36,7.16,5.26,1.37
Mechelen,Club Brugge,0.0,0.0,D,0.0,0.0,9.0,13.0,4.0,2.0,11.0,9.0,2.0,9.0,3.0,5.0,0.0,0.0,5.18,4.23,1.61,4.88,4.13,1.63
Gent,RWD Molenbeek,4.0,0.0,H,2.0,0.0,22.0,3.0,10.0,1.0,11.0,14.0,9.0,1.0,0.0,5.0,0.0,0.0,1.33,6.02,8.28,1.33,5.55,7.76
St Truiden,Oud-Heverlee Leuven,1.0,1.0,D,1.0,1.0,26.0,4.0,13.0,3.0,5.0,10.0,15.0,2.0,0.0,2.0,0.0,1.0,1.83,4.11,4.09,1.84,3.85,3.91
Cercle Brugge,Antwerp,1.0,3.0,A,0.0,1.0,15.0,14.0,2.0,8.0,13.0,6.0,6.0,2.0,4.0,1.0,0.0,0.0,2.79,3.44,2.61,2.7,3.42,2.51
Kortrijk,Westerlo,1.0,2.0,A,0.0,1.0,16.0,8.0,6.0,3.0,8.0,13.0,5.0,1.0,1.0,3.0,0.0,0.0,2.87,3.38,2.57,2.76,3.35,2.51
St. Gilloise,Cercle Brugge,2.0,1.0,H,2.0,1.0,12.0,13.0,6.0,6.0,13.0,15.0,5.0,4.0,1.0,3.0,0.0,0.0,1.65,4.06,5.14,1.64,4.05,4.86
Club Brugge,Standard,2.0,0.0,H,1.0,0.0,13.0,7.0,5.0,2.0,13.0,10.0,4.0,3.0,2.0,2.0,0.0,0.0,1.45,4.97,6.21,1.44,4.84,6.21
Mechelen,St Truiden,0.0,2.0,A,0.0,2.0,6.0,13.0,5.0,5.0,10.0,8.0,1.0,5.0,1.0,2.0,0.0,0.0,2.22,3.38,3.36,2.16,3.43,3.3
Genk,Gent,2.0,2.0,D,1.0,1.0,13.0,17.0,6.0,6.0,15.0,12.0,1.0,9.0,2.0,2.0,0.0,0.0,2.21,3.75,3.19,2.14,3.7,3.09
Antwerp,Oud-Heverlee Leuven,1.0,0.0,H,1.0,0.0,18.0,10.0,5.0,4.0,6.0,9.0,7.0,6.0,0.0,3.0,0.0,0.0,1.34,5.81,8.32,1.35,5.35,7.69
Eupen,Kortrijk,1.0,1.0,D,0.0,0.0,14.0,14.0,3.0,3.0,14.0,10.0,7.0,11.0,1.0,1.0,0.0,0.0,2.28,3.67,3.09,2.24,3.56,3.02
RWD Molenbeek,Charleroi,0.0,0.0,D,0.0,0.0,10.0,18.0,4.0,8.0,4.0,8.0,3.0,10.0,0.0,2.0,0.0,0.0,2.88,3.4,2.55,2.79,3.41,2.46
Westerlo,Anderlecht,1.0,3.0,A,0.0,1.0,23.0,26.0,7.0,10.0,3.0,11.0,7.0,2.0,0.0,0.0,0.0,0.0,5.13,3.88,1.71,4.69,3.9,1.7
Kortrijk,Mechelen,0.0,3.0,A,0.0,2.0,15.0,10.0,3.0,5.0,12.0,12.0,4.0,3.0,2.0,2.0,0.0,0.0,3.01,3.4,2.34,2.92,3.41,2.34
Anderlecht,RWD Molenbeek,2.0,1.0,H,0.0,1.0,25.0,7.0,8.0,2.0,6.0,12.0,10.0,1.0,1.0,4.0,0.0,1.0,1.39,4.87,7.22,1.38,4.89,7.37
Oud-Heverlee Leuven,Club Brugge,0.0,1.0,A,0.0,1.0,10.0,14.0,3.0,6.0,19.0,13.0,7.0,6.0,4.0,2.0,0.0,0.0,4.37,4.2,1.68,4.4,4.14,1.68
Gent,St. Gilloise,1.0,1.0,D,1.0,0.0,11.0,12.0,3.0,4.0,8.0,14.0,5.0,8.0,2.0,3.0,0.0,0.0,2.59,3.6,2.55,2.54,3.53,2.59
Standard,Genk,1.0,0.0,H,0.0,0.0,13.0,11.0,4.0,2.0,20.0,12.0,5.0,5.0,2.0,2.0,0.0,0.0,3.7,3.89,1.93,3.58,3.78,1.93
Charleroi,Westerlo,3.0,2.0,H,0.0,1.0,14.0,11.0,4.0,4.0,15.0,11.0,5.0,4.0,3.0,2.0,0.0,0.0,1.85,3.79,4.12,1.84,3.75,3.99
Cercle Brugge,Eupen,2.0,0.0,H,0.0,0.0,30.0,6.0,10.0,4.0,12.0,13.0,5.0,3.0,4.0,3.0,0.0,0.0,1.38,5.15,7.14,1.38,5.02,7.3
St Truiden,Antwerp,1.0,1.0,D,1.0,0.0,11.0,12.0,5.0,1.0,8.0,11.0,4.0,7.0,2.0,2.0,0.0,0.0,4.1,3.67,1.93,3.95,3.55,1.9
St. Gilloise,Kortrijk,3.0,0.0,H,2.0,0.0,18.0,11.0,8.0,1.0,10.0,9.0,6.0,6.0,2.0,1.0,0.0,0.0,1.2,7.29,12.28,1.2,6.84,12.42
Gent,Anderlecht,1.0,1.0,D,1.0,1.0,10.0,7.0,5.0,2.0,12.0,10.0,8.0,3.0,1.0,2.0,0.0,0.0,2.19,3.63,3.2,2.15,3.6,3.14
Genk,Oud-Heverlee Leuven,3.0,1.0,H,1.0,0.0,18.0,6.0,6.0,3.0,14.0,19.0,3.0,2.0,2.0,4.0,0.0,0.0,1.39,5.53,6.66,1.39,5.25,6.52
Club Brugge,Cercle Brugge,0.0,0.0,D,0.0,0.0,14.0,20.0,7.0,3.0,11.0,12.0,10.0,3.0,2.0,5.0,0.0,0.0,1.72,4.09,4.47,1.72,3.98,4.35
Mechelen,Charleroi,1.0,0.0,H,0.0,0.0,19.0,6.0,7.0,3.0,11.0,10.0,8.0,2.0,2.0,1.0,0.0,1.0,2.71,3.65,2.56,2.61,3.5,2.56
Eupen,RWD Molenbeek,1.0,3.0,A,1.0,1.0,11.0,20.0,4.0,10.0,12.0,14.0,8.0,5.0,1.0,4.0,0.0,0.0,2.6,3.62,2.68,2.58,3.5,2.59
Antwerp,Standard,6.0,0.0,H,4.0,0.0,15.0,2.0,9.0,0.0,13.0,10.0,6.0,2.0,2.0,2.0,0.0,0.0,1.63,4.28,5.29,1.63,4.06,4.99
Westerlo,St Truiden,3.0,3.0,D,2.0,1.0,17.0,10.0,4.0,7.0,11.0,13.0,9.0,3.0,3.0,2.0,0.0,0.0,2.65,3.52,2.69,2.59,3.47,2.57
Charleroi,Gent,1.0,3.0,A,0.0,1.0,11.0,17.0,3.0,9.0,5.0,4.0,0.0,6.0,3.0,0.0,0.0,0.0,3.39,3.68,2.09,3.28,3.68,2.07
St. Gilloise,Club Brugge,2.0,1.0,H,1.0,0.0,19.0,5.0,6.0,2.0,11.0,6.0,9.0,4.0,3.0,4.0,0.0,0.0,2.31,3.7,2.93,2.26,3.62,2.92
Standard,Mechelen,1.0,1.0,D,1.0,0.0,10.0,11.0,4.0,4.0,10.0,19.0,10.0,1.0,1.0,4.0,0.0,0.0,1.69,4.08,4.71,1.71,4.0,4.46
Cercle Brugge,Anderlecht,0.0,3.0,A,0.0,2.0,16.0,7.0,2.0,5.0,14.0,13.0,7.0,1.0,2.0,3.0,0.0,0.0,2.52,3.63,2.77,2.39,3.55,2.76
Antwerp,Genk,3.0,2.0,H,3.0,1.0,14.0,17.0,5.0,8.0,13.0,12.0,5.0,5.0,3.0,4.0,0.0,0.0,2.19,3.77,3.2,2.16,3.68,3.07
Oud-Heverlee Leuven,Westerlo,0.0,2.0,A,0.0,0.0,10.0,10.0,2.0,6.0,11.0,13.0,7.0,7.0,3.0,7.0,0.0,0.0,2.1,3.81,3.3,2.08,3.77,3.18
RWD Molenbeek,Kortrijk,1.0,1.0,D,1.0,1.0,9.0,5.0,5.0,2.0,14.0,7.0,4.0,2.0,3.0,1.0,0.0,0.0,1.93,3.86,3.77,1.91,3.8,3.65
St Truiden,Eupen,1.0,1.0,D,1.0,0.0,16.0,5.0,4.0,1.0,10.0,13.0,5.0,1.0,1.0,1.0,0.0,0.0,1.65,4.2,5.18,1.64,4.06,4.87
Kortrijk,Genk,0.0,3.0,A,0.0,0.0,12.0,15.0,3.0,9.0,10.0,16.0,8.0,5.0,3.0,2.0,0.0,0.0,5.98,4.69,1.49,5.78,4.59,1.49
Gent,Standard,3.0,1.0,H,3.0,0.0,18.0,12.0,9.0,7.0,16.0,15.0,4.0,4.0,2.0,2.0,0.0,0.0,1.64,4.24,4.94,1.62,4.27,4.8
Westerlo,St. Gilloise,1.0,3.0,A,1.0,1.0,12.0,22.0,4.0,7.0,11.0,10.0,5.0,8.0,1.0,1.0,0.0,0.0,4.9,4.29,1.63,4.73,4.15,1.64
Club Brugge,Antwerp,2.0,1.0,H,1.0,0.0,11.0,8.0,5.0,2.0,11.0,9.0,3.0,3.0,4.0,1.0,0.0,0.0,1.98,3.77,3.63,1.97,3.68,3.57
Anderlecht,Oud-Heverlee Leuven,5.0,1.0,H,2.0,1.0,18.0,13.0,9.0,7.0,13.0,13.0,5.0,1.0,1.0,1.0,0.0,0.0,1.51,4.63,6.35,1.5,4.47,5.89
